Date,Open,High,Low,Close,Volume
11/6/2018 16:00:00,314.76,320.22,305.3,310.84,9710424
11/7/2018 16:00:00,312.9,328.56,311,327.5,13328328
11/8/2018 16:00:00,328,332.05,316.61,317.92,11023853
11/9/2018 16:00:00,311.07,312.98,298.01,303.47,13480792
11/12/2018 16:00:00,300,302.49,290.63,294.07,10924827
11/13/2018 16:00:00,295,303.55,289.1,294.4,12232162
11/14/2018 16:00:00,300.4,301.84,278.3,286.73,16853574
11/15/2018 16:00:00,285.51,292.5,282.16,290.06,9967098
11/16/2018 16:00:00,287.14,291.72,281,286.21,9099485
11/19/2018 16:00:00,283.79,285.09,269.15,270.6,12993797
11/20/2018 16:00:00,254.63,276.34,250,266.98,16693809
11/21/2018 16:00:00,274.42,275.34,261.51,262.13,11023037
11/23/2018 13:00:00,260.11,265.5,256.84,258.82,5245123
11/26/2018 16:00:00,260.55,266.25,253.8,261.43,12498560
11/27/2018 16:00:00,259.24,269.08,256.14,266.63,11149501
11/28/2018 16:00:00,271.98,284,263.34,282.65,14801333
11/29/2018 16:00:00,282.32,290.49,275.5,288.75,15431538
11/30/2018 16:00:00,288,290.81,283.06,286.13,11860117
12/3/2018 16:00:00,293.19,298.72,284.58,290.3,14117370
12/4/2018 16:00:00,288.13,295.74,274.72,275.33,12800586
12/6/2018 16:00:00,268.33,283.22,267.14,282.88,13074324
12/7/2018 16:00:00,282.48,284.21,263.38,265.14,12466711
12/10/2018 16:00:00,264.19,271.18,260.61,269.7,9605553
12/11/2018 16:00:00,274.08,274.5,262.76,265.32,9843199
12/12/2018 16:00:00,267.66,281.77,266.48,274.88,11456716
12/13/2018 16:00:00,277.64,279.32,271.85,276.02,8379292
12/14/2018 16:00:00,271.81,277.67,265,266.84,9915319
12/17/2018 16:00:00,266.51,272.98,261.08,262.8,9634734
12/18/2018 16:00:00,263.3,275.75,263.29,270.94,10350079
12/19/2018 16:00:00,269.96,280.87,263.77,266.77,13788448
12/20/2018 16:00:00,264.64,269.9,251.88,260.58,16792928
12/21/2018 16:00:00,263.83,264.5,241.29,246.39,21397595
12/24/2018 13:00:00,242,250.65,233.68,233.88,9547616
12/26/2018 16:00:00,233.92,254.5,231.23,253.67,14402735
12/27/2018 16:00:00,250.11,255.59,240.1,255.57,12235217
12/28/2018 16:00:00,257.94,261.91,249.8,256.08,10987286
12/31/2018 16:00:00,260.16,270.1,260,267.66,13508920
1/2/2019 16:00:00,259.28,269.75,256.58,267.66,11679528
1/3/2019 16:00:00,270.2,275.79,264.43,271.2,14969647
1/4/2019 16:00:00,281.88,297.8,278.54,297.57,19330102
1/7/2019 16:00:00,302.1,316.8,301.65,315.34,18620116
1/8/2019 16:00:00,319.98,320.59,308.01,320.27,15359180
1/9/2019 16:00:00,317.71,323.35,313.5,319.96,13343152
1/10/2019 16:00:00,314.57,325.37,312.5,324.66,13472475
1/11/2019 16:00:00,330.96,341.09,328.52,337.59,19500429
1/14/2019 16:00:00,334.24,335.48,329.13,332.94,10499582
1/15/2019 16:00:00,349.6,357.22,347,354.64,21181234
1/16/2019 16:00:00,354,358.85,348.11,351.39,15385548
1/17/2019 16:00:00,349.5,355.79,346.41,353.19,18871195
1/18/2019 16:00:00,351.97,353,336.73,339.1,26621040
1/22/2019 16:00:00,334.89,336.88,321.03,325.16,17941416
1/23/2019 16:00:00,328.25,331.75,318.6,321.99,13480138
1/24/2019 16:00:00,320.6,331.8,319,326.67,11131627
1/25/2019 16:00:00,328.72,340,328.51,338.05,11166609
1/28/2019 16:00:00,334.7,336.3,328.88,335.66,8652082
1/29/2019 16:00:00,335.87,338.22,328.15,328.9,7655189
1/30/2019 16:00:00,332.75,341.78,330.8,340.66,9234530
1/31/2019 16:00:00,339.68,345.99,338.09,339.5,8535517
2/1/2019 16:00:00,337.18,346.84,336.5,339.85,9827760
2/4/2019 16:00:00,342.6,352,341.3,351.34,9051387
2/5/2019 16:00:00,353.2,360,352.9,355.81,9046623
2/6/2019 16:00:00,357,357.04,347.19,352.19,6717662
2/7/2019 16:00:00,347.9,348.75,339.02,344.71,7864529
2/8/2019 16:00:00,338,348,338,347.57,7561391
2/11/2019 16:00:00,350,352.87,344.81,345.73,5454863
2/12/2019 16:00:00,348.09,360,346.52,359.97,10429399
2/13/2019 16:00:00,357.3,359.6,350.28,351.77,10559146
2/14/2019 16:00:00,351.75,360.45,348.33,359.07,9295338
2/15/2019 16:00:00,358.47,364.4,355.5,356.87,9229980
2/19/2019 16:00:00,355.8,365,355.32,361.92,7396559
2/20/2019 16:00:00,364.85,366.71,356.7,359.91,8110741
2/21/2019 16:00:00,360.03,362.85,353.88,356.97,6227897
2/22/2019 16:00:00,360.34,366.13,360.05,363.02,7088214
2/25/2019 16:00:00,367.01,371.49,363.79,363.91,7569320
2/26/2019 16:00:00,362.98,365.7,359.33,364.97,4944593
2/27/2019 16:00:00,363.5,368.03,359.8,362.87,5629945
2/28/2019 16:00:00,362.47,366.39,357.71,358.1,6186763
